"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/22/2021","38","NO2","RIVER TERRACE","11-001-0041","AQS"
"02/23/2021","40","NO2","RIVER TERRACE","11-001-0041","AQS"
"02/24/2021","53","NO2","RIVER TERRACE","11-001-0041","AQS"
"02/25/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/26/2021","45","PM2.5","Near Road","11-001-0051","AQS"
"02/27/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"02/28/2021","47","PM2.5","Near Road","11-001-0051","AQS"
"03/01/2021","55","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/02/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/03/2021","44","NO2","RIVER TERRACE","11-001-0041","AQS"
"03/04/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/05/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/06/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/07/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/08/2021","55","PM2.5","Near Road","11-001-0051","AQS"
"03/09/2021","58","PM2.5","Near Road","11-001-0051","AQS"
"03/10/2021","68","PM2.5","Near Road","11-001-0051","AQS"
"03/11/2021","63","PM2.5","Near Road","11-001-0051","AQS"
"03/12/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/13/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/14/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/15/2021","48","NO2","Near Road","11-001-0051","AQS"
"03/16/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/17/2021","38","PM2.5","Near Road","11-001-0051","AQS"
"03/18/2021","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/19/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/20/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/21/2021","56","PM2.5","Near Road","11-001-0051","AQS"
"03/22/2021","47","PM2.5","Near Road","11-001-0051","AQS"
"03/23/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/24/2021","34","PM2.5","Near Road","11-001-0051","AQS"
"03/25/2021","48","PM2.5","Near Road","11-001-0051","AQS"
"03/26/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/27/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/28/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/29/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/30/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/31/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/01/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/02/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/03/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/04/2021","71","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/05/2021","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/06/2021","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/07/2021","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/08/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/09/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/10/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/11/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/12/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/13/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/14/2021","44","PM2.5","Near Road","11-001-0051","AQS"
"04/15/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/16/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/17/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/18/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/19/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/20/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/21/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/22/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/23/2021","57","NO2","Near Road","11-001-0051","AQS"
"04/24/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/25/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/26/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/27/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/28/2021","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/29/2021","52","PM2.5","Near Road","11-001-0051","AQS"
"04/30/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/01/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/02/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/03/2021","46","PM2.5","Near Road","11-001-0051","AQS"
"05/04/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/05/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/06/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
