,time,pblh(m)
308,2011-11-05,1262.4032
309,2011-11-06,1054.6693
310,2011-11-07,679.37555
311,2011-11-08,687.19916
312,2011-11-09,591.68384
313,2011-11-10,649.809
314,2011-11-11,2213.189
315,2011-11-12,714.26984
316,2011-11-13,864.0226
317,2011-11-14,845.0635
318,2011-11-15,757.41974
319,2011-11-16,593.17175
320,2011-11-17,1559.4127
321,2011-11-18,1748.7635
322,2011-11-19,777.3868
323,2011-11-20,559.2374
324,2011-11-21,389.37366
325,2011-11-22,326.97668
326,2011-11-23,1409.42
327,2011-11-24,1351.2949
328,2011-11-25,374.0144
329,2011-11-26,226.42163
330,2011-11-27,1194.9664
331,2011-11-28,652.64087
332,2011-11-29,1067.3407
333,2011-11-30,1752.2673
334,2011-12-01,1255.9235
335,2011-12-02,404.15698
336,2011-12-03,800.3777
337,2011-12-04,699.63055
338,2011-12-05,469.00183
339,2011-12-06,734.1889
340,2011-12-07,634.6417
341,2011-12-08,1190.3107
342,2011-12-09,784.01044
343,2011-12-10,1418.3956
344,2011-12-11,915.04407
345,2011-12-12,533.22266
346,2011-12-13,683.98334
347,2011-12-14,602.3393
348,2011-12-15,770.61914
349,2011-12-16,1231.7327
350,2011-12-17,1519.2386
351,2011-12-18,1582.4036
352,2011-12-19,474.2815
353,2011-12-20,899.7808
354,2011-12-21,931.98724
355,2011-12-22,974.08124
356,2011-12-23,1419.3076
357,2011-12-24,1468.6012
358,2011-12-25,641.74536
359,2011-12-26,1380.8615
360,2011-12-27,867.3344
361,2011-12-28,1856.9502
362,2011-12-29,1256.7875
363,2011-12-30,445.67493
364,2011-12-31,1552.5011
365,2012-01-01,901.4535
366,2012-01-02,2027.8663
367,2012-01-03,2479.8342
368,2012-01-04,2073.588
369,2012-01-05,1229.0381
370,2012-01-06,450.3169
371,2012-01-07,1352.1226
372,2012-01-08,1305.9333
373,2012-01-09,594.4956
374,2012-01-10,1089.7952
375,2012-01-11,490.16736
376,2012-01-12,705.9419
377,2012-01-13,2112.9707
378,2012-01-14,1714.154
379,2012-01-15,1294.3472
380,2012-01-16,957.87805
381,2012-01-17,905.03845
382,2012-01-18,1674.1477
383,2012-01-19,1122.8914
384,2012-01-20,748.7539
385,2012-01-21,611.58923
386,2012-01-22,540.8247
387,2012-01-23,465.38416
388,2012-01-24,952.5785
389,2012-01-25,734.10223
390,2012-01-26,513.18396
391,2012-01-27,1521.5001
392,2012-01-28,1461.023
393,2012-01-29,2150.5872
394,2012-01-30,1535.6842
395,2012-01-31,708.74756
396,2012-02-01,1619.23
397,2012-02-02,1655.8591
398,2012-02-03,1511.5764
399,2012-02-04,621.0973
400,2012-02-05,1411.093
401,2012-02-06,1003.33984
402,2012-02-07,1195.0066
403,2012-02-08,502.63684
404,2012-02-09,1109.5386
405,2012-02-10,1148.8175
406,2012-02-11,1272.8372
407,2012-02-12,1841.1873
408,2012-02-13,1308.739
409,2012-02-14,1512.8754
410,2012-02-15,1291.0739
411,2012-02-16,754.9367
412,2012-02-17,1641.9868
413,2012-02-18,2082.7842
414,2012-02-19,1220.3093
415,2012-02-20,1067.6617
416,2012-02-21,1239.6371
417,2012-02-22,2104.1902
418,2012-02-23,2210.9084
419,2012-02-24,506.68945
420,2012-02-25,2533.6091
421,2012-02-26,1983.5476
422,2012-02-27,1248.21
423,2012-02-28,1016.7965
424,2012-02-29,630.39746
425,2012-03-01,2242.7576
426,2012-03-02,996.16986
427,2012-03-03,1850.9551
428,2012-03-04,2179.4229
429,2012-03-05,1879.0115
430,2012-03-06,1498.7952
431,2012-03-07,1306.9205
432,2012-03-08,2055.2993
433,2012-03-09,2262.501
434,2012-03-10,1434.4733
435,2012-03-11,974.03644
436,2012-03-12,1140.7123
437,2012-03-13,2012.6951
438,2012-03-14,1919.1217
439,2012-03-15,702.9284
440,2012-03-16,686.77
441,2012-03-17,1110.7854
442,2012-03-18,894.0757
443,2012-03-19,1414.3662
444,2012-03-20,965.1519
445,2012-03-21,790.89044
446,2012-03-22,1276.5261
