Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
12/15/2011,64,770.61914,8,29,54,0,4,37
12/16/2011,54,1231.7327,9,25,60,0,0.8,18
12/17/2011,60,1519.2386,9,16,62,15,2.6,19
12/18/2011,62,1582.4036,9,21,65,0,2.6,30
12/19/2011,65,474.2815,13,13,56,0,1.6,35
12/20/2011,56,899.7808,10,19,64,0,1.5,32
12/21/2011,64,931.98724,13,12,59,0,1.2,40
12/22/2011,59,974.08124,14,18,46,0,4.9,44
12/23/2011,46,1419.3076,10,19,57,9,2.8,22
12/24/2011,57,1468.6012,13,30,61,0,0,34
12/25/2011,61,641.74536,16,20,52,0,0.6,29
12/26/2011,52,1380.8615,14,27,53,0,0,32
12/27/2011,53,867.3344,14,18,38,0,0.8,26
12/28/2011,38,1856.9502,10,30,62,0,0.5,15
12/29/2011,62,1256.7875,11,18,60,14,1.9,31
12/30/2011,60,445.67493,17,29,60,0,1.8,32
12/31/2011,60,1552.5011,13,27,59,0,0.2,32
01/01/2012,59,901.4535,17,27,48,0,1.4,24
01/02/2012,48,2027.8663,11,29,51,0,0,8
01/03/2012,51,2479.8342,10,28,49,0,1.3,13
01/04/2012,49,2073.588,11,25,63,0,2.1,33
01/05/2012,63,1229.0381,17,18,60,0,3.5,42
01/06/2012,60,450.3169,18,26,64,0,2,44
01/07/2012,64,1352.1226,20,28,56,0,0,42
01/08/2012,56,1305.9333,10,25,52,0,5.7,26
01/09/2012,52,594.4956,13,10,61,0,1.8,37
01/10/2012,61,1089.7952,19,18,64,0,6.1,42
01/11/2012,64,490.16736,22,19,50,0,0,50
01/12/2012,50,705.9419,14,20,55,0,2.8,30
01/13/2012,55,2112.9707,13,20,54,0,0,12
01/14/2012,54,1714.154,6,21,59,0,1.2,13
01/15/2012,59,1294.3472,9,30,54,0,3,41
01/16/2012,54,957.87805,13,24,64,0,2,41
01/17/2012,64,905.03845,8,31,55,0,2.3,30
01/18/2012,55,1674.1477,7,26,48,0,2.5,17
01/19/2012,51,1122.8914,10,23,57,0,1.6,51
01/20/2012,57,748.7539,7,23,61,0,1.1,26
01/21/2012,61,611.58923,8,15,60,0,2.6,21
01/22/2012,60,540.8247,8,14,85,0,2.4,26
01/23/2012,85,465.38416,13,4,60,0,3.1,40
01/24/2012,60,952.5785,14,13,64,0,4,34
01/25/2012,64,734.10223,14,15,64,0,1.1,32
01/26/2012,64,513.18396,10,18,58,0,0.9,36
01/27/2012,58,1521.5001,9,21,52,0,0,25
01/28/2012,52,1461.023,9,30,40,0,2.6,31
01/29/2012,40,2150.5872,7,32,54,0,0.7,18
01/30/2012,54,1535.6842,7,28,58,0,1.6,32
01/31/2012,58,708.74756,8,34,64,0,2.2,38
02/01/2012,64,1619.23,10,32,68,0,2.3,25
02/02/2012,68,1655.8591,11,21,52,0,4.1,37
02/03/2012,52,1511.5764,10,26,61,0,2.4,34
02/04/2012,61,621.0973,15,15,64,0,0,32
