"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/28/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/01/2011","35","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"03/02/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/03/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"03/04/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/05/2011","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/06/2011","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/07/2011","20","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"03/08/2011","27","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/09/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/10/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/11/2011","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/12/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/13/2011","40","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"03/14/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/15/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/16/2011","39","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/17/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/18/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/19/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/20/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/21/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/22/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/23/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/24/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/25/2011","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/26/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/27/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"03/28/2011","28","","RIVER TERRACE","11-001-0041","AQS"
"03/29/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"03/30/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"03/31/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/01/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/02/2011","59","","RIVER TERRACE","11-001-0041","AQS"
"04/03/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/04/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/05/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/06/2011","24","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/07/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/08/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/09/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/10/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/11/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/12/2011","25","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"04/13/2011","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/14/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/15/2011","46","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/16/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/17/2011","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/18/2011","53","","RIVER TERRACE","11-001-0041","AQS"
"04/19/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/20/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/21/2011","38","","RIVER TERRACE","11-001-0041","AQS"
"04/22/2011","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/23/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/24/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/25/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/26/2011","36","","RIVER TERRACE","11-001-0041","AQS"
"04/27/2011","52","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"04/28/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"04/29/2011","28","","RIVER TERRACE","11-001-0041","AQS"
"04/30/2011","20","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"05/01/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/02/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/03/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/04/2011","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/05/2011","27","","RIVER TERRACE","11-001-0041","AQS"
"05/06/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"05/07/2011","40","","RIVER TERRACE","11-001-0041","AQS"
"05/08/2011","52","","RIVER TERRACE","11-001-0041","AQS"
"05/09/2011","48","","RIVER TERRACE","11-001-0041","AQS"
"05/10/2011","27","","RIVER TERRACE","11-001-0041","AQS"
"05/11/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/12/2011","47","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/13/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/14/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/15/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/16/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/17/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/18/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/19/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/20/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/21/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/22/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/23/2011","69","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/24/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/25/2011","57","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/26/2011","80","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/27/2011","57","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/28/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/29/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/30/2011","76","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/31/2011","93","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/01/2011","90","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/02/2011","33","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/03/2011","23","","RIVER TERRACE","11-001-0041","AQS"
"06/04/2011","90","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/05/2011","61","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/06/2011","56","","RIVER TERRACE","11-001-0041","AQS"
"06/07/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/08/2011","88","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/09/2011","89","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/10/2011","79","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/11/2011","72","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/12/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/13/2011","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/14/2011","67","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/15/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/16/2011","55","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/17/2011","48","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/18/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/19/2011","66","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/20/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/21/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/22/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/23/2011","46","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/24/2011","31","","RIVER TERRACE","11-001-0041","AQS"
"06/25/2011","47","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/26/2011","45","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/27/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/28/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/29/2011","46","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"06/30/2011","40","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/01/2011","54","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/02/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/03/2011","68","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/04/2011","97","","RIVER TERRACE","11-001-0041","AQS"
"07/05/2011","64","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/06/2011","69","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/07/2011","70","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/08/2011","62","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/09/2011","55","","RIVER TERRACE","11-001-0041","AQS"
"07/10/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/11/2011","64","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/12/2011","54","","RIVER TERRACE","11-001-0041","AQS"
"07/13/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/14/2011","26","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/15/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/16/2011","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/17/2011","39","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/18/2011","82","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/19/2011","72","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/20/2011","89","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/21/2011","94","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/22/2011","85","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/23/2011","75","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/24/2011","77","","RIVER TERRACE","11-001-0041","AQS"
"07/25/2011","62","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/26/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/27/2011","42","","RIVER TERRACE","11-001-0041","AQS"
"07/28/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/29/2011","81","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"07/30/2011","51","","RIVER TERRACE","11-001-0041","AQS"
"07/31/2011","52","","RIVER TERRACE","11-001-0041","AQS"
"08/01/2011","58","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"08/02/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/03/2011","91","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/04/2011","72","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/05/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/06/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/07/2011","68","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/08/2011","69","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/09/2011","76","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/10/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/11/2011","62","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/12/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/13/2011","80","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/14/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/15/2011","29","","RIVER TERRACE","11-001-0041","AQS"
"08/16/2011","47","","HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.","11-001-0042","AQS"
"08/17/2011","48","","RIVER TERRACE","11-001-0041","AQS"
"08/18/2011","55","","RIVER TERRACE","11-001-0041","AQS"
"08/19/2011","57","","RIVER TERRACE","11-001-0041","AQS"
"08/20/2011","51","","RIVER TERRACE","11-001-0041","AQS"
"08/21/2011","58","","RIVER TERRACE","11-001-0041","AQS"
"08/22/2011","33","","RIVER TERRACE","11-001-0041","AQS"
"08/24/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/25/2011","61","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/26/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/27/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/28/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/29/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/30/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/31/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/01/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/02/2011","57","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/03/2011","66","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/04/2011","83","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/05/2011","65","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/06/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/07/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/08/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/09/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/10/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/11/2011","62","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/12/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/13/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/14/2011","69","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/15/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/16/2011","36","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/17/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/18/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/19/2011","41","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/20/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/21/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/22/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/23/2011","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/24/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/25/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/26/2011","50","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/27/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/28/2011","50","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/29/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/30/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/01/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/02/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/03/2011","41","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/04/2011","46","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/05/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/06/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/07/2011","60","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/08/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/09/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/10/2011","65","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/11/2011","68","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/12/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/13/2011","41","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/14/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/15/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/16/2011","42","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/17/2011","53","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/18/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/19/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/20/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/21/2011","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/22/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/23/2011","65","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/24/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/25/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/26/2011","62","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/27/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/28/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/29/2011","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/30/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/31/2011","55","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/01/2011","54","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/02/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/03/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/04/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/05/2011","45","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/06/2011","55","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/07/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/08/2011","64","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/09/2011","66","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/10/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/11/2011","52","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/12/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/13/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/14/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/15/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/16/2011","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/17/2011","38","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/18/2011","62","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/19/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/20/2011","63","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/21/2011","67","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/22/2011","57","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/23/2011","35","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/24/2011","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/25/2011","59","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/26/2011","66","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/27/2011","56","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/28/2011","51","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/29/2011","33","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/30/2011","29","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"12/01/2011","48","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
