"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/29/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/30/2019","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/31/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/01/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/02/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/03/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/04/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/05/2019","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/06/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/07/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/08/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/09/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/10/2019","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/11/2019","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/12/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/13/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/14/2019","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/15/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/16/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/17/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/18/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/19/2019","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/20/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/21/2019","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/22/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/23/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/24/2019","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/25/2019","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/26/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/27/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/28/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/29/2019","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/30/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/01/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/02/2019","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/03/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/04/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/05/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/06/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/07/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/08/2019","17","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/09/2019","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/10/2019","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/11/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/12/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/13/2019","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/14/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/15/2019","21","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/16/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/17/2019","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/18/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/19/2019","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/20/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/21/2019","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/22/2019","11","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/23/2019","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/24/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/25/2019","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/26/2019","22","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/27/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/28/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/29/2019","15","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/30/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/31/2019","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/01/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/02/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/03/2019","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/04/2019","19","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/05/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/06/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/07/2019","16","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/08/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/09/2019","12","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/10/2019","20","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/11/2019","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/12/2019","8","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/13/2019","10","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/14/2019","18","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"11/15/2019","23","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
