"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/14/2012","AQS","110010043","2","13","ug/m3 SC","12","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"06/20/2012","AQS","110010043","2","33","ug/m3 SC","31","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"06/26/2012","AQS","110010043","2","9","ug/m3 SC","8","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/02/2012","AQS","110010043","2","20","ug/m3 SC","19","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/04/2012","AQS","110010043","2","26","ug/m3 SC","24","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/05/2012","AQS","110010043","2","24","ug/m3 SC","22","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/08/2012","AQS","110010043","2","37","ug/m3 SC","34","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/14/2012","AQS","110010043","2","12","ug/m3 SC","11","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/20/2012","AQS","110010043","2","10","ug/m3 SC","9","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/26/2012","AQS","110010043","2","31","ug/m3 SC","29","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
"07/29/2012","AQS","110010043","2","14","ug/m3 SC","13","MCMILLAN  NCore-PAMS","1","100.0000","81102","PM10 Total 0-10um STP","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.9218470009224","-77.013178"
