,TEMPERATURE,TEMPERATURE_DELTA,SOLAR_RADIATION,OZONE,CO,NO,NOY,NOYDIF,SO2_GA,MEAN PM 2.5,MEAN PM 10,PBLH,AQI_TRUE
2015-06-14,25.386666666666667,-0.017458333333333326,287.1516666666667,32.76895454545455,75.07134870719776,0.358,3.85025,2.5223333333333335,2.4242608695652175,12.65,5.5,1856.3679,0.0
2015-06-15,24.952083333333334,0.23104166666666667,206.33249999999998,17.438181818181818,75.14826607267645,0.8686666666666666,3.8925416666666663,3.245421052631579,1.3607083333333332,10.5,15.0,1875.1802,-1.0
2015-06-16,26.863333333333333,0.29416666666666663,284.8585,27.66740909090909,75.22518343815513,0.5008421052631579,5.265842105263158,4.608291666666667,1.2811304347826087,8.8,12.0,2171.838,-1.0
2015-06-17,23.295,0.18491666666666665,207.57595833333335,34.947272727272725,75.30210080363382,0.2758333333333333,3.9775000000000005,4.2704,1.3481666666666667,9.8,6.0,1062.8135,-1.0
2015-06-18,23.218333333333334,-0.18258333333333332,230.57949999999997,29.046545454545456,75.37901816911251,0.25015,3.0274,3.0841250000000002,1.3756086956521738,6.8,18.0,1761.5526,-1.0
2015-06-19,24.707083333333333,0.1475,263.5724583333334,26.37090909090909,75.45593553459119,0.6485,5.287458333333333,3.394947368421053,1.5622083333333334,12.4,8.0,1723.9282,0.0
2015-06-20,24.115416666666665,-0.09083333333333334,229.90054166666667,29.076999999999998,75.53285290006988,0.15647368421052632,2.6967368421052633,2.7052272727272726,1.1961739130434783,11.05,8.0,1480.0295,-1.0
2015-06-21,26.260833333333334,0.2015,316.1855,31.528636363636362,75.60977026554856,0.29025,5.171916666666667,1.7396999999999998,1.4687083333333335,8.1,12.0,2041.2839,-1.0
2015-06-22,26.135416666666668,0.44691666666666663,349.30491666666666,41.98409090909091,75.68668763102725,0.187,4.19585,2.7780833333333335,1.5565652173913045,10.3,6.0,1908.5142,0.0
2015-06-23,26.49208333333333,0.239,301.4359583333333,33.44757142857143,75.76360499650593,0.6530416666666666,4.822125,3.964478260869565,1.414125,13.799999999999999,8.0,2090.0354,0.0
2015-06-24,21.99291666666667,0.19474999999999998,368.8838333333333,32.27859090909091,75.84052236198463,0.75755,6.1213999999999995,2.749041666666667,1.6823000000000001,4.8,6.0,1876.7361,0.0
2015-06-25,22.140416666666667,0.06375,239.892875,37.468363636363634,75.9174397274633,0.3045,3.505125,4.7661,1.5535833333333333,10.0,6.0,1725.8141,0.0
2015-06-26,20.955833333333334,-0.09695833333333333,182.19887500000002,39.84045454545455,75.994357092942,0.28809999999999997,3.1454999999999997,3.19075,1.2902608695652173,12.5,10.0,1114.0166,0.0
2015-06-27,19.330833333333334,0.17516666666666666,40.40945833333333,35.3935,76.07127445842069,0.719125,3.7706666666666666,3.174090909090909,1.4217916666666666,10.133333333333333,9.0,791.5687,-1.0
2015-06-28,20.39625,0.108375,250.39962500000001,29.045,76.14819182389937,0.22152631578947365,3.875157894736842,2.775,1.450478260869565,7.766666666666667,8.0,1730.9061,-1.0
2015-06-29,20.687083333333334,0.5314583333333333,364.529,35.99890909090909,76.22510918937806,0.099875,2.5284583333333335,3.55055,1.5219166666666668,5.4,7.0,2065.8955,-1.0
2015-06-30,23.896666666666665,0.35175,243.12699999999998,39.59586363636364,76.30202655485674,0.265,3.3533500000000003,2.1122916666666667,1.302695652173913,8.2,5.0,1866.3163,0.0
2015-07-01,23.026666666666667,0.10762500000000001,290.22925000000004,38.533923076923074,76.37894392033543,0.7715416666666667,5.164541666666667,4.5882499999999995,1.628125,17.6,11.0,1948.2603,0.0
2015-07-02,19.764583333333334,0.26116666666666666,74.35345833333334,19.05168181818182,76.45586128581411,0.32289473684210523,4.253263157894737,5.547625,1.3219999999999998,20.15,20.5,659.1289,0.0
2015-07-03,20.58375,0.06429166666666666,255.558625,30.724818181818183,76.5327786512928,0.5047083333333333,6.495875000000001,2.9638,1.5374583333333334,18.633333333333333,16.333333333333332,1288.1827,0.0
2015-07-04,21.28875,0.12191666666666667,161.623125,31.78840909090909,76.60969601677148,0.41605,4.2741,1.5112499999999998,1.784304347826087,17.116666666666667,12.166666666666666,871.10803,-1.0
2015-07-05,22.261666666666667,0.13516666666666666,259.1634166666667,28.22477272727273,76.68661338225017,0.85475,6.742625,2.411368421052632,1.5330416666666666,15.600000000000001,8.0,783.83636,0.0
2015-07-06,24.182916666666667,0.08458333333333334,211.634,26.88809090909091,76.76353074772886,0.17247368421052633,3.763842105263158,1.4353333333333333,1.664,8.2,5.0,1602.4739,-1.0
2015-07-07,25.905833333333334,0.4811666666666667,310.42233333333337,38.80614285714286,76.84044811320754,0.5207499999999999,6.179083333333334,3.568739130434783,1.5642083333333332,11.95,4.5,1726.1913,0.0
2015-07-08,26.074583333333333,0.3094166666666667,218.52462500000001,30.404090909090908,76.91736547868624,0.47795652173913045,5.772173913043478,5.897916666666667,1.3947727272727273,15.7,4.0,1325.9486,0.0
2015-07-09,26.2825,0.24820833333333336,229.7744583333333,24.84568181818182,76.99428284416491,2.0175,7.013125,3.7912105263157896,1.7288333333333332,8.2,8.0,1562.3506,-1.0
2015-07-10,24.475416666666664,0.1897916666666667,314.824625,35.032272727272726,77.0712002096436,0.46752631578947373,6.426578947368421,2.2718333333333334,1.9846521739130434,6.3,5.0,1163.1924,-1.0
2015-07-11,23.33666666666667,0.2177916666666667,289.22087500000004,30.667318181818185,77.14811757512228,0.38025,5.01075,2.8122499999999997,1.460375,12.2,10.5,1947.6945,0.0
2015-07-12,22.475416666666664,0.29391666666666666,284.95937499999997,32.31090909090909,77.22503494060098,0.31275,2.99715,2.51675,1.5546956521739133,13.7,7.0,1888.3817,0.0
2015-07-13,22.386666666666667,0.2965833333333333,151.77712499999998,28.267409090909094,77.30195230607966,0.41324999999999995,3.5276666666666667,3.8375263157894737,1.3758333333333335,14.0,14.0,901.6602,0.0
2015-07-14,25.395416666666666,0.2713333333333333,265.49329166666666,37.184090909090905,77.37886967155835,0.12400000000000001,1.9897777777777779,2.7649166666666667,1.2463076923076923,7.5,11.5,1189.3596,-1.0
2015-07-15,23.36916666666667,0.13654166666666667,230.35091666666665,37.10409090909091,77.45578703703704,0.13686363636363638,2.2378434343434344,2.4499,1.363,2.2,18.0,1189.3596,-1.0
2015-07-16,20.826249999999998,0.016874999999999987,358.8235,34.67045454545455,77.53270440251572,0.14972727272727274,2.485909090909091,3.90525,0.12425000000000001,3.4,7.0,1507.6584,0.0
2015-07-17,22.1925,0.18679166666666666,158.81216666666668,28.48759090909091,77.60962176799441,0.2165,4.047499999999999,1.9826315789473685,0.23216666666666666,6.8999999999999995,10.0,1295.6950333333334,-1.0
2015-07-18,25.558333333333334,0.3698333333333333,232.31116666666665,40.62590909090909,77.68653913347309,0.192,4.884,3.4619583333333335,0.34933333333333333,8.5,7.0,1051.2621,0.0
2015-07-19,27.915833333333335,0.4512083333333334,296.40158333333335,37.749,77.76345649895178,0.610875,6.078333333333333,2.77555,0.223375,13.8,19.0,1843.355,0.0
2015-07-20,27.709166666666665,0.2983333333333333,321.135375,30.802636363636363,77.84037386443046,0.33199999999999996,5.5337499999999995,3.4797083333333334,0.28039130434782605,11.6,14.0,1681.1174,0.0
2015-07-21,26.287916666666664,0.346875,171.73766666666666,28.980095238095238,77.91729122990915,1.1018235294117649,8.74470588235294,4.2807,0.5213913043478261,13.0,34.0,1622.1819,0.0
2015-07-22,23.25916666666667,0.5465833333333333,349.5005416666667,35.87136363636363,77.99420859538783,0.9897082166199814,8.210944911297853,3.0580833333333337,0.2997391304347826,7.7,27.0,1943.2625,-1.0
2015-07-23,21.041666666666668,0.3109166666666667,353.82649999999995,31.22209090909091,78.07112596086652,0.8775929038281981,7.677183940242763,2.6248,0.2764583333333333,7.15,16.5,1933.6442,0.0
2015-07-24,21.385,0.3217083333333333,347.67325,32.99545454545454,78.14804332634522,0.7654775910364147,7.143422969187675,2.7456666666666667,0.20620833333333333,8.8,16.0,2302.8633,0.0
2015-07-25,23.3225,0.3442083333333333,273.82758333333334,40.90281818181818,78.2249606918239,0.6533622782446313,6.6096619981325855,2.849736842105263,0.5330833333333334,13.9,9.0,1770.8408,0.0
2015-07-26,24.956666666666667,0.23829166666666668,292.65175,47.558181818181815,78.30187805730259,0.5412469654528479,6.075901027077498,1.82075,0.4019166666666667,12.2,16.0,1703.6072,0.0
2015-07-27,24.341250000000002,0.06379166666666668,201.79629166666666,33.10190909090909,78.37879542278127,0.42913165266106446,5.542140056022409,2.3127500000000003,0.30212500000000003,14.2,10.0,928.8648,0.0
2015-07-28,25.43875,0.11320833333333334,285.2212083333333,32.99222727272727,78.45571278825996,0.3170163398692811,5.00837908496732,3.1975833333333337,0.34958333333333336,17.2,16.0,1703.7015,0.0
2015-07-29,25.0,0.3805,159.99945833333334,22.785272727272726,78.53263015373864,0.2049010270774977,4.474618113912231,3.0591578947368423,0.6245416666666667,10.5,14.666666666666666,1210.5293,-1.0
