Date, AQI Value,PBLH (m),CO (ppm),O3 (ppm),PM 2.5 (ug/m3),PM 10 (ug/m3),SO2 (ppb),NO2 (ppb)
07/02/2012,58,2544.7278,8,58,72,0,1.5,18
07/03/2012,105,2765.9058,14,105,92,0,4.6,24
07/04/2012,115,2477.2363,14,115,71,0,4.3,20
07/05/2012,143,2492.3037,13,143,71,0,4.9,24
07/06/2012,154,2543.377,14,154,91,0,10,25
07/07/2012,115,3169.1387,16,115,99,0,8.4,18
07/08/2012,140,2603.3345,15,140,64,0,8.7,17
07/09/2012,64,1101.7971,11,49,66,0,0,21
07/10/2012,67,1886.4932,11,67,60,0,0,25
07/11/2012,60,1754.8359,8,50,55,0,1.4,19
07/12/2012,61,1762.1617,8,61,61,0,0.5,27
07/13/2012,93,1800.1418,8,93,57,0,2.7,35
07/14/2012,57,1120.3455,7,48,57,0,1.5,17
07/15/2012,57,1724.1816,5,41,66,0,2.5,12
07/16/2012,77,1831.6273,7,77,81,0,2,23
07/17/2012,129,2454.2717,8,129,81,0,0,30
07/18/2012,105,2093.643,8,105,65,0,5.1,28
07/19/2012,126,1760.2913,8,126,66,0,3.9,21
07/20/2012,66,861.7069,11,34,58,0,0,18
07/21/2012,58,602.5488,7,25,45,0,0.4,14
07/22/2012,45,837.5992,7,36,66,0,0.4,11
07/23/2012,66,1076.0266,9,58,71,0,1.9,14
07/24/2012,71,1645.8315,9,48,51,0,3,22
07/25/2012,64,1882.5446,7,64,77,0,1.4,22
07/26/2012,97,2174.0195,8,97,59,0,6,19
07/27/2012,67,1410.937,8,67,64,0,1.3,25
07/28/2012,71,2053.4287,8,71,61,0,1.1,24
07/29/2012,61,1681.006,8,49,63,0,2,26
07/30/2012,63,1474.4277,9,51,56,0,0,29
07/31/2012,56,1700.5935,8,42,62,0,1,21
08/01/2012,93,1913.7183,8,93,71,0,1.3,24
08/02/2012,77,1875.4265,9,77,79,0,1.5,22
08/03/2012,79,1864.7235,8,74,67,0,2.6,18
08/04/2012,67,2033.8933,7,54,97,0,1.3,8
08/05/2012,97,2089.3306,6,37,64,0,1.6,11
08/06/2012,67,1601.0452,8,67,76,0,1,15
08/07/2012,76,1232.9867,11,74,76,0,2.8,21
08/08/2012,80,1660.7949,9,80,71,0,0,24
08/09/2012,105,2357.1135,8,105,56,0,3.6,22
08/10/2012,56,1514.0703,8,44,55,0,0,22
08/11/2012,55,1655.8591,6,50,53,0,0.9,18
08/12/2012,53,1904.7299,7,47,59,0,1,25
08/13/2012,67,2201.816,9,67,70,0,1.2,32
08/14/2012,70,2148.301,9,64,67,0,2.1,32
08/15/2012,67,1172.5615,9,67,65,0,2.8,24
08/16/2012,108,2222.8064,9,108,71,0,1.8,35
08/17/2012,93,2251.798,8,93,53,0,3.8,27
08/18/2012,80,2212.2593,8,80,56,0,1.7,42
08/19/2012,56,1185.1869,10,51,61,0,0,36
08/20/2012,64,1203.2677,9,64,67,8,1.2,32
08/21/2012,93,1897.6118,10,93,76,14,2.6,37
08/22/2012,76,1741.4312,13,71,81,22,0,44
08/23/2012,108,2079.9265,13,108,81,16,0,40
08/24/2012,115,1945.5156,11,115,64,14,5.6,42
08/25/2012,64,1619.3857,9,46,48,13,2.5,38
08/26/2012,48,575.6355,8,27,31,13,0,14
08/27/2012,45,1411.5085,8,45,43,15,2.7,27
08/28/2012,50,2240.3157,10,50,41,24,0,31
08/29/2012,54,1988.899,10,54,55,31,2.3,45
08/30/2012,108,1899.2225,13,108,59,13,1.6,42
08/31/2012,90,2180.2021,10,90,49,26,0,16
05/01/2013,61,1306.2942,6,61,23,14,1.2,31
05/02/2013,40,1140.9958,7,40,31,23,0.3,33
05/03/2013,44,1402.356,8,44,28,22,0.8,27
05/04/2013,44,1473.13,5,44,41,25,0,12
05/05/2013,50,1188.9736,5,50,42,16,0.1,13
05/06/2013,42,747.1,6,30,26,12,1,20
05/07/2013,30,686.87573,6,30,40,13,0.2,12
05/08/2013,40,1332.4832,7,38,53,12,0.5,25
05/09/2013,53,1411.5804,8,38,58,23,0.4,34
05/10/2013,58,1940.9276,13,50,53,22,2.3,37
05/11/2013,53,1473.2361,6,35,32,24,0.2,19
05/12/2013,43,2675.1748,6,43,27,17,0.3,10
05/13/2013,44,2812.959,5,44,37,13,0.6,23
05/14/2013,47,2074.9478,7,47,58,18,1.1,31
05/15/2013,63,1314.5114,6,58,59,17,1,63
05/16/2013,59,1893.904,6,54,52,23,2,42
05/17/2013,90,2418.639,6,90,31,21,1,29
05/18/2013,44,636.40625,6,44,46,19,0.7,8
05/19/2013,46,788.45105,5,30,52,23,,10
05/20/2013,55,1148.3118,5,37,57,27,0.5,55
05/21/2013,57,1167.0258,6,41,68,26,1.1,21
05/22/2013,68,1223.2208,6,49,39,32,0.6,20
05/23/2013,39,1292.6165,5,39,27,31,0,20
05/24/2013,31,1733.589,6,31,30,20,1.2,13
05/25/2013,39,2851.023,3,39,27,13,2.3,7
05/26/2013,45,2148.3723,6,45,35,13,2.9,32
05/27/2013,47,1713.6556,9,47,62,12,1.8,25
05/28/2013,62,1451.2351,9,47,68,14,0.6,33
05/29/2013,71,2458.1345,6,71,60,10,2.5,19
05/30/2013,90,2261.7698,5,90,55,11,0.8,25
05/31/2013,61,1953.598,5,61,67,14,1.3,22
06/01/2013,67,2062.1711,3,47,41,19,1.7,8
06/02/2013,41,1617.3287,2,31,46,19,1.2,13
06/03/2013,46,1478.9615,3,43,30,18,2.2,34
06/04/2013,49,1949.569,3,49,48,18,1.9,26
06/05/2013,87,1724.2584,8,87,30,14,3.1,42
06/06/2013,44,1327.5529,3,44,25,13,2.1,25
06/07/2013,25,661.1638,8,19,54,20,0.4,22
06/08/2013,54,1370.6534,5,47,60,28,2.2,27
06/09/2013,60,1123.183,7,50,45,12,2.3,28
06/10/2013,50,1044.3508,3,25,39,18,0.2,50
06/11/2013,44,1698.7585,6,44,62,17,0.5,15
06/12/2013,70,1947.8195,6,64,55,19,0,70
06/13/2013,55,1929.6886,5,41,30,16,1.3,40
06/14/2013,41,1875.8792,5,41,54,9,0.8,28
06/15/2013,54,2108.2407,5,51,63,13,1.9,42
06/16/2013,63,1884.4675,8,44,58,14,1.1,40
06/17/2013,58,1793.7601,5,54,63,20,0.9,20
06/18/2013,63,432.6725,6,29,48,18,4.2,61
06/19/2013,48,1137.9209,5,44,43,17,1.8,34
06/20/2013,51,1622.047,5,51,57,18,1.7,28
06/21/2013,77,1400.6064,5,77,30,16,1.2,28
06/22/2013,48,1619.6084,3,48,29,17,1.1,12
06/23/2013,36,1081.3547,2,36,51,23,0.8,11
06/24/2013,74,1988.1633,5,74,55,14,1.1,19
06/25/2013,58,1864.9053,5,58,49,9,1.1,23
06/26/2013,84,1740.3218,5,84,49,8,0.4,24
06/27/2013,49,842.5256,5,31,40,8,0.6,14
06/28/2013,43,1537.4893,5,43,42,11,0.3,20
06/29/2013,71,1916.064,3,71,55,19,0.9,18
06/30/2013,55,1023.62225,2,37,25,18,1.2,9
07/01/2013,27,979.6734,2,27,34,15,0.5,9
07/02/2013,34,707.7103,2,24,37,17,0.7,8
07/03/2013,37,1164.6401,3,23,66,18,0.9,8
07/04/2013,66,1337.3605,3,19,45,18,3,7
07/05/2013,45,1591.8289,3,23,38,15,1,6
07/06/2013,38,1527.7346,2,30,31,19,1,7
07/07/2013,31,1466.185,2,27,40,17,0.8,12
07/08/2013,46,1688.1558,2,46,62,19,0,11
07/09/2013,62,1341.9197,5,43,55,14,2.3,24
07/10/2013,55,926.92426,9,42,46,14,1.3,13
07/11/2013,51,1350.0309,13,51,52,17,1.1,12
07/12/2013,52,599.0311,11,28,40,16,0.8,18
07/13/2013,41,917.96484,10,41,45,20,0,14
07/14/2013,45,1413.648,9,20,55,31,1.1,10
07/15/2013,55,1794.6084,8,51,63,20,1.5,12
07/16/2013,74,2050.7732,9,74,68,26,1.6,24
07/17/2013,97,2169.154,9,97,76,23,1,23
07/18/2013,101,1611.073,9,101,80,21,1.3,20
07/19/2013,80,1832.8846,9,80,59,14,1.9,17
07/20/2013,59,1532.1349,9,44,50,14,0.4,8
07/21/2013,50,2081.6274,8,50,50,14,2,21
07/22/2013,50,1372.774,8,43,35,13,1,16
07/23/2013,44,1496.0321,10,44,42,16,0.7,27
07/24/2013,43,1548.9403,10,43,31,15,1,17
07/25/2013,42,1556.3623,9,42,46,22,3.9,16
07/26/2013,67,2103.6284,10,67,58,15,3.3,17
07/27/2013,58,1440.9503,9,44,57,20,1,11
07/28/2013,57,1320.2899,9,42,45,19,1.1,10
07/29/2013,45,2531.2942,2,44,55,23,1.9,16
07/30/2013,61,1833.7859,6,61,66,22,1.7,28
07/31/2013,66,1511.4592,6,48,65,19,2.6,29
08/01/2013,65,1430.3475,6,34,55,32,0.8,13
08/02/2013,55,2247.403,6,50,57,30,0.8,19
08/03/2013,57,1225.0764,6,35,33,33,1.2,19
08/04/2013,33,2202.5,5,32,31,35,0.5,21
08/05/2013,43,2196.8804,5,43,49,27,4.8,18
08/06/2013,49,671.9258,5,29,56,14,0,20
08/07/2013,56,1315.6246,6,39,52,12,0,8
08/08/2013,52,1579.1584,6,35,53,12,0,8
08/09/2013,53,1757.8695,6,37,47,6,0,10
08/10/2013,48,1157.0061,6,48,54,14,0,20
08/11/2013,54,1425.1521,6,47,65,13,0,14
08/12/2013,65,2090.2158,7,64,56,12,0,22
08/13/2013,56,1473.7131,7,42,22,15,0,16
08/14/2013,30,1983.5511,6,30,24,15,0,10
08/15/2013,44,2156.4836,7,44,41,20,0.5,22
08/16/2013,61,1987.8452,7,61,49,19,0.5,40
08/17/2013,67,1679.0374,9,67,43,22,0.6,34
08/18/2013,43,592.66943,6,42,43,23,0.1,17
08/19/2013,43,895.6459,7,31,51,16,0.5,23
